frame,p1_health,p2_health,p1_damage_event,0x080,0x074,0x070,0x0D0,0x094,0x0C0,0x19C
0,65536,65536,0,63,0,65537,47,0,0,2
1,65536,65536,0,63,0,65537,47,0,0,2
2,65536,65536,0,62,0,65537,47,0,0,2
3,65536,65536,0,61,0,65537,47,0,0,2
4,65536,65536,0,61,0,65537,47,0,0,2
5,65536,65536,0,60,0,65537,47,0,0,2
6,65536,65536,0,60,0,65537,47,0,0,2
7,65536,65536,0,59,0,65537,47,0,0,2
8,65536,65536,0,59,0,65537,47,0,0,2
9,65536,65536,0,59,0,65537,47,0,0,2
10,65536,65536,0,58,0,65537,47,0,0,2
11,65536,65536,0,57,0,65537,47,0,0,2
12,65536,65536,0,57,0,65537,47,0,0,2
13,65536,65536,0,56,0,65537,47,0,0,2
14,65536,65536,0,56,0,65537,47,0,0,2
15,65536,65536,0,56,0,65537,47,0,0,2
16,65536,65536,0,55,0,65537,47,0,0,2
17,65536,65536,0,55,0,65537,47,0,0,2
18,65536,65536,0,54,0,65537,47,0,0,2
19,65536,65536,0,54,0,65537,47,0,0,2
20,65536,65536,0,53,0,65537,47,0,0,2
21,65536,65536,0,53,0,65537,47,0,0,2
22,65536,65536,0,52,0,65537,47,0,0,2
23,65536,65536,0,51,0,65537,47,0,0,2
24,65536,65536,0,51,0,65537,47,0,0,2
25,65536,65536,0,51,0,65537,47,0,0,2
26,65536,65536,0,50,0,65537,47,0,0,2
27,65536,65536,0,49,0,65537,47,0,0,2
28,65536,65536,0,49,0,65537,47,0,0,2
29,65536,65536,0,49,0,65537,47,0,0,2
30,65536,65536,0,48,0,65537,47,0,0,2
31,65536,65536,0,47,0,65537,47,0,0,2
32,65536,65536,0,47,0,65537,47,0,0,2
33,65536,65536,0,46,0,65537,47,0,0,2
34,65536,65536,0,46,0,65537,47,0,0,2
35,65536,65536,0,45,0,65537,47,0,0,2
36,65536,65536,0,45,0,65537,47,0,0,2
37,65536,65536,0,45,0,65537,47,0,0,2
38,65536,65536,0,45,0,65537,47,0,0,2
39,65536,65536,0,45,0,65537,47,0,0,2
40,65536,65536,0,45,0,65537,47,0,0,2
41,65536,65536,0,45,0,65537,47,0,0,2
42,65536,65536,0,45,0,65537,47,0,0,2
43,65536,65536,0,45,0,65537,47,0,0,2
44,65536,65536,0,45,0,65537,47,0,0,2
45,65536,65536,0,45,0,65537,47,0,0,2
46,65536,65536,0,45,0,65537,47,0,0,2
47,65536,65536,0,45,0,65537,47,0,0,2
48,65536,65536,0,45,0,65537,47,0,0,2
49,65536,65536,0,45,0,65537,47,0,0,2
50,65536,65536,0,45,0,65537,47,0,0,2
51,65536,65536,0,45,0,65537,47,0,0,2
52,65536,65536,0,45,0,65537,47,0,0,2
53,65536,65536,0,45,0,65537,47,0,0,2
54,65536,65536,0,45,0,65537,47,0,0,2
55,65536,65536,0,45,0,65537,47,0,0,2
56,65536,65536,0,45,0,65537,47,0,0,2
57,65536,65536,0,45,0,65537,47,0,0,2
58,65536,65536,0,45,0,65537,47,0,0,2
59,65536,65536,0,45,0,65537,47,0,0,2
60,65536,65536,0,45,0,65537,47,0,0,2
61,65536,65536,0,45,0,65537,47,0,0,2
62,65536,65536,0,45,0,65537,47,0,0,2
63,65536,65536,0,45,0,65537,47,0,0,2
64,65536,65536,0,45,0,65537,47,0,0,2
65,65536,65536,0,45,0,65537,47,0,0,2
66,65536,65536,0,45,0,65537,47,0,0,2
67,65536,65536,0,45,0,65537,47,0,0,2
68,65536,65536,0,45,0,65537,47,0,0,2
69,65536,65536,0,44,0,65537,47,0,0,2
70,65536,65536,0,44,0,65537,47,0,0,2
71,65536,65536,0,43,0,65537,47,0,0,2
72,65536,65536,0,43,0,65537,47,0,0,2
73,65536,65536,0,42,0,65537,47,0,0,2
74,65536,65536,0,42,0,65537,47,0,0,2
75,65536,65536,0,42,0,65537,47,0,0,2
76,65536,65536,0,41,0,65537,47,0,0,2
77,65536,65536,0,40,0,65537,47,0,0,2
78,65536,65536,0,40,0,65537,47,0,0,2
79,65536,65536,0,39,0,65537,47,0,0,2
80,65536,65536,0,39,0,65537,47,0,0,2
81,65536,65536,0,38,0,65537,47,0,0,2
82,65536,65536,0,38,0,65537,47,0,0,2
83,65536,65536,0,38,0,65537,47,0,0,2
84,65536,65536,0,38,0,65537,47,0,0,2
85,65536,65536,0,38,0,65537,47,0,0,2
86,65536,65536,0,38,0,65537,47,0,0,2
87,65536,65536,0,38,0,65537,47,0,0,2
88,65536,65536,0,38,0,65537,47,0,0,2
89,65536,65536,0,38,0,65537,47,0,0,2
90,65536,65536,0,38,0,65537,47,0,0,2
91,65536,65536,0,38,0,65537,47,0,0,2
92,65536,65536,0,38,0,65537,47,0,0,2
93,65536,65536,0,38,0,65537,47,0,0,2
94,65536,65536,0,38,0,65537,47,0,0,2
95,65536,65536,0,38,0,65537,47,0,0,2
96,65536,65536,0,38,0,65537,47,0,0,2
97,65536,65536,0,38,0,65537,47,0,0,2
98,65536,65536,0,38,0,65537,47,0,0,2
99,65536,65536,0,37,0,65537,47,0,0,2
100,65536,65536,0,37,0,65537,47,0,0,2
101,65536,65536,0,36,0,65537,47,0,0,2
102,65536,65536,0,36,0,65537,47,0,0,2
103,65536,65536,0,35,0,65537,47,0,0,2
104,65536,65536,0,35,0,65537,47,0,0,2
105,65536,65536,0,34,0,65537,47,0,0,2
106,65536,65536,0,34,0,65537,47,0,0,2
107,65536,65536,0,33,0,65537,47,0,0,2
108,65536,65536,0,33,0,65537,47,0,0,2
109,65536,65536,0,32,0,65537,47,0,0,2
110,65536,65536,0,32,0,65537,47,0,0,2
111,65536,65536,0,31,0,65537,47,0,0,2
112,65536,65536,0,31,0,65537,47,0,0,2
113,53740,65536,1,30,4294963937,65450,47,0,0,2
114,53740,65536,0,30,4294963937,65450,47,0,0,2
115,53740,65536,0,29,0,65536,49,0,0,2
116,53740,65536,0,29,0,65536,49,0,0,2
117,53740,65536,0,29,0,65536,49,0,0,2
118,53740,65536,0,28,4294966953,65536,49,0,0,2
119,53740,65536,0,28,4294966953,65536,49,0,0,2
120,53740,65536,0,27,4294966673,65533,49,0,0,2
121,53740,65536,0,26,4294966441,65530,49,0,0,2
122,53740,65536,0,26,4294966441,65530,49,0,0,2
123,53740,65536,0,25,4294966245,65528,49,0,0,2
124,53740,65536,0,25,4294966245,65528,49,0,0,2
125,53740,65536,0,24,4294966078,65524,50,0,0,2
126,53740,65536,0,24,4294966078,65524,50,0,0,2
127,53740,65536,0,23,4294965933,65522,50,0,0,2
128,53740,65536,0,23,4294965933,65522,50,0,0,2
129,53740,65536,0,22,4294965807,65519,50,0,0,2
130,53740,65536,0,22,4294965807,65519,50,0,0,2
131,53740,65536,0,21,4294965695,65516,50,0,0,2
132,53740,65536,0,21,4294965695,65516,50,0,0,2
133,53740,65536,0,21,4294965695,65516,50,0,0,2
134,53740,65536,0,20,4294965597,65514,50,0,0,2
135,53740,65536,0,19,4294965508,65511,50,0,0,2
136,53740,65536,0,19,4294965508,65511,50,0,0,2
137,53740,65536,0,18,4294965429,65509,50,0,0,2
138,53740,65536,0,18,4294965429,65509,50,0,0,2
139,53740,65536,0,18,4294965429,65509,50,0,0,2
140,53740,65536,0,17,4294965358,65507,50,0,0,2
141,53740,65536,0,16,4294965293,65505,52,0,0,2
142,53740,65536,0,16,4294965293,65505,52,0,0,2
143,53740,65536,0,15,4294965233,65503,52,0,0,2
144,53740,65536,0,15,4294965233,65503,52,0,0,2
145,53740,65536,0,14,4294965179,65502,52,0,0,2
146,53740,65536,0,14,4294965179,65502,52,0,0,2
147,53740,65536,0,13,4294965129,65500,52,0,0,2
148,53740,65536,0,13,4294965129,65500,52,0,0,2
149,53740,65536,0,12,4294965083,65498,52,0,0,2
150,53740,65536,0,12,4294965083,65498,52,0,0,2
151,53740,65536,0,11,4294965040,65497,52,0,0,2
152,53740,65536,0,11,4294965040,65497,52,0,0,2
153,53740,65536,0,10,4294965001,65495,52,0,0,2
154,53740,65536,0,10,4294965001,65495,52,0,0,2
155,53740,65536,0,9,4294965001,65495,52,0,0,2
156,53740,65536,0,9,4294965001,65495,52,0,0,2
157,53740,65536,0,8,4294965001,65495,54,0,0,2
158,53740,65536,0,8,4294965001,65495,54,0,0,2
159,53740,65536,0,7,4294965001,65495,54,0,0,2
160,53740,65536,0,7,4294965001,65495,54,0,0,2
161,53740,65536,0,6,4294965001,65495,54,0,0,2
162,53740,65536,0,6,4294965001,65495,54,0,0,2
163,53740,65536,0,5,4294965001,65496,54,0,0,2
164,53740,65536,0,5,4294965001,65496,54,0,0,2
165,53740,65536,0,5,4294965001,65496,54,0,0,2
166,53740,65536,0,4,4294965001,65495,54,0,0,2
167,53740,65536,0,4,4294965001,65495,54,0,0,2
168,53740,65536,0,4,4294965001,65495,54,0,0,2
169,53740,65536,0,4,4294965001,65496,54,0,0,2
170,53740,65536,0,4,4294965001,65496,54,0,0,2
171,53740,65536,0,4,4294965001,65496,54,0,0,2
172,53740,65536,0,4,4294965002,65495,54,0,0,2
173,53740,65536,0,4,4294965002,65496,54,0,0,2
174,53740,65536,0,4,4294965002,65495,54,0,0,2
175,53740,65536,0,4,4294965002,65495,54,0,0,2
176,53740,65536,0,4,4294965002,65495,54,0,0,2
177,53740,65536,0,4,4294965002,65495,54,0,0,2
178,53740,65536,0,4,4294965002,65496,54,0,0,2
179,53740,65536,0,4,4294965002,65496,54,0,0,2
